INSTNM,CITY,STABBR,INSTURL,PREDDEG,HIGHDEG,ADM_RATE,SAT_AVG,CURROPER,ADDR,PCIP01,PCIP03,PCIP04,PCIP05,PCIP09,PCIP10,PCIP11,PCIP12,PCIP13,PCIP14,PCIP15,PCIP16,PCIP19,PCIP22,PCIP23,PCIP24,PCIP25,PCIP26,PCIP27,PCIP29,PCIP30,PCIP31,PCIP38,PCIP39,PCIP40,PCIP41,PCIP42,PCIP43,PCIP44,PCIP45,PCIP46,PCIP47,PCIP48,PCIP49,PCIP50,PCIP51,PCIP52,PCIP54
Alabama A & M University,Normal,AL,www.aamu.edu/,3,4,0.684,920.0,1,4900 Meridian Street,0.0333,0.0157,0.0059,0.0,0.0,0.0333,0.0802,0.0,0.0391,0.1076,0.0157,0.0,0.0235,0.0,0.0117,0.0176,0.0,0.1644,0.002,0.0,0.0,0.0333,0.0,0.0,0.0117,0.0,0.0744,0.09,0.0431,0.0313,0.0,0.0,0.0,0.0,0.0137,0.0,0.1526,0.0
University of Alabama at Birmingham,Birmingham,AL,https://www.uab.edu/,3,4,0.8668,1291.0,1,Administration Bldg Suite 1070,0.0,0.0,0.0,0.0007,0.0269,0.0,0.0241,0.0,0.067,0.06,0.0,0.0073,0.0,0.0,0.0157,0.0328,0.0,0.125,0.0063,0.0,0.0,0.0,0.0052,0.0,0.0227,0.0003,0.0792,0.0353,0.0175,0.0265,0.0,0.0,0.0,0.0,0.0248,0.2213,0.1934,0.008
Amridge University,Montgomery,AL,https://www.amridgeuniversity.edu/,3,4,Not Available,Not Available,1,1200 Taylor Rd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2065,0.0,0.0,0.0109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2283,0.0,0.0,0.0,0.0978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4565,0.0
University of Alabama in Huntsville,Huntsville,AL,www.uah.edu/,3,4,0.781,1259.0,1,301 Sparkman Dr,0.0,0.0,0.0,0.0,0.0061,0.0,0.0906,0.0,0.0085,0.2924,0.0,0.0122,0.0,0.0,0.017,0.0,0.0,0.0553,0.0152,0.0,0.0201,0.0219,0.0018,0.0,0.0413,0.0,0.0249,0.0,0.0,0.0249,0.0,0.0,0.0,0.0,0.0535,0.1119,0.1945,0.0079
Alabama State University,Montgomery,AL,www.alasu.edu/,3,4,0.966,963.0,1,915 S Jackson Street,0.0,0.0,0.0,0.0,0.0604,0.0,0.075,0.0,0.0625,0.0104,0.0,0.0,0.0,0.0,0.025,0.0,0.0,0.1271,0.0063,0.0,0.0958,0.0146,0.0,0.0,0.0063,0.0,0.0521,0.1229,0.0438,0.0271,0.0,0.0,0.0,0.0,0.0604,0.05,0.15,0.0104
The University of Alabama,Tuscaloosa,AL,www.ua.edu/,3,4,0.8006,1304.0,1,739 University Blvd,0.0,0.0036,0.0,0.0016,0.0944,0.0,0.0139,0.0,0.0243,0.1235,0.0,0.0042,0.0798,0.0,0.0105,0.0,0.0,0.0341,0.0095,0.0,0.0141,0.0268,0.0028,0.0,0.0095,0.0,0.0403,0.0,0.0111,0.0786,0.0,0.0,0.0,0.0,0.021,0.1008,0.2868,0.0087
Central Alabama Community College,Alexander City,AL,www.cacc.edu/,1,2,Not Available,Not Available,1,1675 Cherokee Rd,0.0,0.0,0.0,0.0,0.0,0.0,0.0429,0.0446,0.0,0.0,0.0179,0.0,0.0054,0.0,0.0,0.3696,0.0,0.0,0.0,0.0,0.0321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0607,0.2143,0.0,0.0,0.1893,0.0232,0.0
Athens State University,Athens,AL,www.athens.edu/,3,4,Not Available,Not Available,1,300 N Beaty St,0.0,0.0,0.0,0.0,0.0,0.0,0.0289,0.0,0.3579,0.0,0.0,0.0,0.0,0.0,0.0211,0.0684,0.0,0.0132,0.0158,0.0,0.0158,0.0039,0.0039,0.0,0.0,0.0,0.0158,0.0158,0.0,0.0197,0.0,0.0,0.0,0.0,0.025,0.0211,0.3632,0.0105
Auburn University at Montgomery,Montgomery,AL,www.aum.edu/,3,4,0.9223,1051.0,1,7440 East Drive,0.0,0.0162,0.0,0.0,0.0192,0.0,0.0708,0.0,0.0546,0.0,0.0,0.0044,0.0,0.0,0.0192,0.0,0.0,0.0619,0.0044,0.0,0.0664,0.0649,0.0,0.0,0.0147,0.0,0.0693,0.0605,0.0,0.0324,0.0,0.0,0.0,0.0,0.0339,0.233,0.1652,0.0088
Auburn University,Auburn,AL,www.auburn.edu/,3,4,0.4374,1292.0,1,"Auburn, Alabama",0.0378,0.0187,0.018,0.0,0.0523,0.0,0.038,0.0,0.0449,0.1786,0.0,0.0046,0.0371,0.0057,0.0069,0.0002,0.0,0.1051,0.0058,0.0,0.0118,0.0,0.0011,0.0,0.0099,0.0,0.0276,0.0,0.0079,0.0316,0.0,0.0,0.0,0.0212,0.0327,0.0616,0.2364,0.0046
Birmingham-Southern College,Birmingham,AL,www.bsc.edu/,3,3,0.5717,1218.0,1,900 Arkadelphia Road,0.0,0.0076,0.0114,0.0,0.0418,0.0,0.0418,0.0,0.0304,0.0038,0.0,0.0114,0.0,0.0,0.0304,0.0,0.0,0.0951,0.0266,0.0,0.0342,0.0,0.0114,0.0,0.0114,0.0,0.0951,0.0,0.0,0.0875,0.0,0.0,0.0,0.0,0.0798,0.0875,0.251,0.0418
